Articles (articles_PADI_relevant.csv)	Topic 0 : million / milliard / franc / entreprise / affaire / service / marché / chiffre / sénégal / cfa	Topic 1 : covid / 19 / cas / pandémie / santé / pays / contre / Sénégal / sanitaire / crise	Topic 2 : femme / pouvoir / homme / journée / vie / fille / famille / jour / bien / mars	Topic 3 : Afrique / développement / eau / pays / africain / Sénégal / mondial / international / durable / agriculture	Topic 4 : sénégal / bon / équipe / voir / bien / beaucoup / gagner / vraiment / yer / match	Topic 5 : Sénégal / sénégalais / président / Diop / Ndiaye / dakar / Senghor / Mamadou / Afrique / Dakar	Topic 6 : enseignant / éducation / élève / école / accord / gouvernement / syndicat / problème / cours / année	Topic 7 : loi / droit / national / assemblée / député / pouvoir / maire / article / Sénégal / code	Topic 8 : élection / électoral / candidat / pouvoir / politique / parti / devoir / vote / opposition / justice	Topic 9 : lion / finale / but / Sénégal / match / minute / egypte / face / février / victoire	Topic 10 : président / politique / pouvoir / Wade / sénégalais / Macky / Abdoulaye / sall / etat / parti	Topic 11 : pays / africain / pouvoir / économique / produit / économie / président / Afrique / alimentaire / continent	Topic 12 : sénégal / ramener / beaucoup / monde / new / ligne / petit / bon / mener / voir	Topic 13 : équipe / joueur / match / Sénégal / coupe / jouer / pouvoir / club / national / lion	Topic 14 : pêche / ressource / riz / acteur / secteur / local / pétrole / Sénégal / national / gaz	Topic 15 : père / jour / grand / venir / sénégalais / famille / fils / village / vivre / terre	Topic 16 : eau / zone / population / région / commune / village / terre / pouvoir / rural / service	Topic 17 : pouvoir / aujourd / sénégal / voir / état / devoir / vouloir / savoir / bien / beaucoup	Topic 18 : Sénégal / milliard / etat / sénégalais / gouvernement / Bénin / ministre / sénégal / CFA / public	Topic 19 : agricole / producteur / production / bénin / gouvernement / tonne / agriculture / national / produit / ministre	Topic 20 : ministre / président / république / etat / chef / national / conseil / Macky / communication / gouvernement	Topic 21 : pouvoir / information / réseau / donnée / social / Sénégal / devoir / sénégalais / communication / numérique	Topic 22 : projet / formation / national / développement / programme / secteur / travail / centre / financement / cadre	Topic 23 : Wade / etat / sénégalais / chef / prendre / pouvoir / guerre / Ukraine / pays / président	Topic 24 : prix / fcfa / produit / hausse / marché / milliard / année / denrée / mois / franc	Topic 25 : pays / militaire / russe / Ukraine / Mali / président / force / armée / Russie / sanction	Topic 26 : affaire / justice / presse / dossier / dernier / mort / victime / pouvoir / contre / enquête	Topic 27 : santé / enfant / alimentaire / hôpital / maladie / sanitaire / système / médecin / civil / médical	Topic 28 : football / national / sport / sénégal / fédération / sénégalais / président / stade / coupe / sportif	Topic 29 : beaucoup / pouvoir / artiste / voir / culture / sénégalais / musique / venir / bien / vraiment	Topic 30 : sénégal / état / heure / édition / pouvoir / commune / sénégalais / jour / autorité / président	Topic 31 : Cheikh / religieux / musulman / professeur / Sénégal / communauté / fête / université / monde / science	Topic 32 : pouvoir / politique / pays / devoir / sénégalais / Sénégal / bien / homme / monde / peuple	Topic 33 : coalition / liste / élection / Yewwi / sonko / leader / politique / opposition / Askan / maire	Topic 34 : jeune / emploi / pouvoir / pays / entreprise / programme / local / jeunesse / devoir / politique
article 2275	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.15908	0.00053	0.00053	0.00053	0.45098	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.16591	0.00053	0.00053	0.06475	0.1434	0.00053	0.00053
article 2276	0.0001	0.0001	0.0001	0.0001	0.69627	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.22866	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.072	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
article 2277	5e-05	5e-05	5e-05	0.03004	0.12851	5e-05	5e-05	0.01618	0.07504	0.02458	5e-05	5e-05	0.64966	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.02171	5e-05	0.01527	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.03766	5e-05
article 2278	2e-05	2e-05	2e-05	2e-05	0.12484	2e-05	0.02042	2e-05	0.0154	0.02581	2e-05	0.03161	2e-05	2e-05	2e-05	2e-05	2e-05	0.10477	2e-05	2e-05	2e-05	2e-05	0.06626	2e-05	2e-05	2e-05	2e-05	2e-05	0.10394	0.0657	0.44065	2e-05	2e-05	2e-05	2e-05
article 2279	0.00017	0.0711	0.00017	0.00017	0.00017	0.00017	0.01334	0.00017	0.00017	0.3465	0.00017	0.00017	0.00017	0.48649	0.00017	0.07762	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017
article 2280	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.32588	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.00022	0.56486	0.00022	0.00022	0.06135	0.00022	0.00022	0.04115	0.00022	0.00022	0.00022	0.00022	0.00022
article 2281	0.00012	0.00012	0.00012	0.00012	0.00012	0.23627	0.00012	0.00012	0.00012	0.03933	0.00012	0.00012	0.00012	0.00012	0.00012	0.16608	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.03353	0.00012	0.00012	0.27659	0.15391	0.09085	0.00012	0.00012	0.00012	0.00012
article 2282	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.27419	0.00053	0.00053	0.00053	0.70835	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053	0.00053
article 2283	0.04271	0.00012	0.00012	0.00012	0.00012	0.00894	0.0123	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.23256	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.64589	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.05406	0.00012
article 2284	0.00015	0.00015	0.02419	0.00015	0.00015	0.81923	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.15172	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015
article 2285	4e-05	0.00568	0.40956	4e-05	0.00802	0.06089	4e-05	4e-05	0.04274	4e-05	4e-05	4e-05	4e-05	4e-05	0.0275	0.32722	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.02773	4e-05	4e-05	4e-05	4e-05	0.08196	4e-05	0.00767	4e-05	4e-05	4e-05
article 2286	0.00018	0.21455	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.06993	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.10833	0.07386	0.00018	0.10315	0.00018	0.42504	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018
article 2287	0.00014	0.00014	0.00014	0.00014	0.03472	0.03771	0.00014	0.00014	0.00014	0.0366	0.17923	0.00014	0.00014	0.00014	0.00014	0.09809	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.09357	0.09624	0.30661	0.1137	0.00014
article 2288	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.49242	0.00029	0.18115	0.00029	0.00029	0.127	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.11316	0.00029	0.00029	0.07761	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029
article 2289	0.03414	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	0.29187	9e-05	0.02249	9e-05	9e-05	0.03596	9e-05	9e-05	9e-05	9e-05	0.01937	9e-05	9e-05	0.29463	9e-05	0.23428	9e-05	9e-05	9e-05	9e-05	9e-05	0.00937	9e-05	0.05551	9e-05
article 2290	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.31476	0.00024	0.00024	0.00024	0.00024	0.36334	0.00024	0.00024	0.16015	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.05127	0.00024	0.10315	0.00024	0.00024	0.00024	0.00024	0.00024
article 2291	0.08925	6e-05	0.00756	0.33757	6e-05	6e-05	6e-05	0.02609	0.00953	6e-05	6e-05	0.04797	6e-05	6e-05	0.00617	6e-05	0.02964	6e-05	6e-05	0.07579	6e-05	6e-05	0.01162	6e-05	0.02145	0.11463	6e-05	6e-05	6e-05	6e-05	0.22138	6e-05	6e-05	6e-05	6e-05
article 2292	0.00037	0.00037	0.00037	0.34507	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.4314	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.21166	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037
article 2293	0.00018	0.00018	0.00018	0.08468	0.00018	0.00018	0.00018	0.15439	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.23589	0.13444	0.15286	0.00018	0.14188	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.00018	0.09095	0.00018	0.00018
article 2294	0.00013	0.00013	0.00013	0.02162	0.00013	0.03337	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.03287	0.00013	0.06499	0.38951	0.00013	0.00013	0.45392	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013
article 2295	0.00011	0.00011	0.00011	0.59098	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.03883	0.13742	0.11718	0.00011	0.00011	0.03372	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.07859	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011
article 2296	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.08195	5e-05	0.07339	0.06746	0.08491	5e-05	5e-05	5e-05	5e-05	0.05607	5e-05	5e-05	5e-05	5e-05	0.01913	5e-05	5e-05	0.16178	0.00419	0.06995	5e-05	5e-05	0.33885	5e-05	0.04118	5e-05	5e-05
article 2297	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.04503	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.07931	0.03575	0.00029	0.00029	0.4795	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.08825	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.16083	0.10308
article 2298	5e-05	5e-05	5e-05	5e-05	0.55443	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.34031	5e-05	5e-05	5e-05	5e-05	0.00035	5e-05	5e-05	5e-05	0.02381	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.05801	0.02168	5e-05	5e-05	5e-05	5e-05	5e-05
article 2299	6e-05	6e-05	0.02451	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	0.75521	6e-05	6e-05	6e-05	6e-05	0.10687	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	0.07952	0.01146	6e-05	6e-05	0.02057
article 2300	0.01711	0.03073	7e-05	7e-05	7e-05	0.05855	7e-05	7e-05	7e-05	7e-05	7e-05	0.177	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	0.03624	7e-05	7e-05	0.0644	0.14236	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	0.30465	7e-05	7e-05	7e-05	7e-05	0.16714
article 2301	0.00016	0.00016	0.04233	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.02137	0.04276	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.44039	0.00016	0.00016	0.41142	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.03702
article 2302	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.25433	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.11765	0.60973	0.00057	0.00057
article 2303	0.00021	0.04327	0.00021	0.22805	0.09935	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.06175	0.16666	0.00021	0.00021	0.32477	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.02209	0.00021	0.00021	0.00021	0.00021	0.00021	0.04827
article 2304	9e-05	9e-05	9e-05	9e-05	9e-05	0.05873	9e-05	9e-05	9e-05	9e-05	0.06234	9e-05	9e-05	9e-05	9e-05	9e-05	0.67875	9e-05	9e-05	9e-05	0.07647	9e-05	0.12095	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05
article 2305	8e-05	8e-05	0.01846	8e-05	8e-05	0.18744	8e-05	0.06867	8e-05	8e-05	0.70733	8e-05	0.01583	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05
article 2306	0.00016	0.00016	0.00016	0.00016	0.29679	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.41316	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.00016	0.12097	0.1096	0.00016	0.00016	0.00016	0.05466
article 2307	0.00041	0.00041	0.00041	0.00041	0.00041	0.27111	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.09916	0.00041	0.26611	0.00041	0.00041	0.00041	0.35078	0.00041	0.00041	0.00041
article 2308	0.00017	0.00017	0.00017	0.00017	0.00017	0.0747	0.40374	0.00017	0.00017	0.00017	0.00017	0.01188	0.00017	0.00017	0.00017	0.163	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.0285	0.00017	0.00017	0.00017	0.04861	0.00017	0.00017	0.00017	0.00017	0.2648	0.00017	0.00017
article 2309	0.0003	0.26792	0.0003	0.62239	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.09996	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003
article 2310	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.08891	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.09915	0.16722	0.0002	0.25924	0.21627	0.0002	0.0002	0.16329	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002
article 2311	0.00011	0.00011	0.00011	0.00011	0.07598	0.00011	0.00011	0.00011	0.00011	0.0098	0.00011	0.38436	0.34787	0.00011	0.00011	0.00011	0.00011	0.03641	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.09315	0.00011	0.00011	0.00011	0.00011	0.04922	0.00011	0.00011	0.00011	0.00011	0.00011
article 2312	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.42242	0.0003	0.0003	0.0003	0.0003	0.56766	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003
article 2313	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.07619	0.00036	0.00036	0.00036	0.00036	0.00036	0.16607	0.00036	0.00036	0.00036	0.54414	0.20253	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036	0.00036
article 2314	0.00041	0.00041	0.00041	0.00041	0.00041	0.3169	0.00041	0.00041	0.00041	0.00041	0.22055	0.00041	0.00041	0.16068	0.00041	0.13714	0.06402	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.0887	0.00041	0.00041	0.00041
article 2315	0.00025	0.00025	0.00025	0.00025	0.00025	0.2771	0.00025	0.00025	0.00025	0.15777	0.00025	0.00025	0.00025	0.33511	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.22239	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025
article 2316	0.00047	0.00047	0.00047	0.117	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.29713	0.00047	0.12012	0.00047	0.00047	0.18143	0.00047	0.00047	0.00047	0.27027	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047
article 2317	0.00029	0.00029	0.00029	0.00029	0.22557	0.45697	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.1084	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029	0.19993	0.00029	0.00029	0.00029	0.00029	0.00029	0.00029
article 2318	0.00014	0.00014	0.07405	0.00014	0.00014	0.02106	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.08964	0.00014	0.12536	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.23336	0.3273	0.12535	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014
article 2319	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.03625	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.95361	0.00031
article 2320	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.34969	0.01386	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.08502	0.00023	0.00023	0.39857	0.14588	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023
article 2321	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.07527	8e-05	8e-05	0.79327	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	0.1288	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05	8e-05
article 2322	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.21278	0.05637	0.00032	0.00032	0.00032	0.00032	0.12643	0.00032	0.00032	0.51132	0.08358	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032
article 2323	0.00021	0.00021	0.00021	0.25685	0.00021	0.00021	0.00021	0.07547	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.31037	0.00021	0.24151	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.10941
article 2324	6e-05	0.03699	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	0.03092	6e-05	6e-05	6e-05	0.9301	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05	6e-05
article 2325	3e-05	0.04157	3e-05	0.03073	0.02082	3e-05	3e-05	0.08466	0.04339	3e-05	0.07182	0.01746	3e-05	3e-05	3e-05	3e-05	3e-05	0.20333	3e-05	3e-05	3e-05	0.17153	0.0064	3e-05	3e-05	3e-05	0.08897	3e-05	3e-05	3e-05	3e-05	3e-05	0.00632	0.09881	0.11349
article 2326	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.00026	0.99133	0.00026
article 2327	0.00013	0.00013	0.11076	0.00013	0.00013	0.00013	0.00013	0.00013	0.06143	0.00013	0.21317	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.03022	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.58045	0.00013	0.00013
article 2328	0.00024	0.08549	0.00024	0.00024	0.00024	0.00024	0.00024	0.15955	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.27753	0.00024	0.00024	0.00024	0.00024	0.10537	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.02908	0.00024	0.16146	0.17485	0.00024	0.00024	0.00024
article 2329	0.00013	0.05132	0.00013	0.00013	0.00013	0.05095	0.04599	0.04303	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.0258	0.00013	0.00013	0.21869	0.00013	0.00013	0.23234	0.00013	0.00013	0.00013	0.29142	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.03703	0.00013	0.00013	0.00013
article 2330	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.10203	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.49359	0.39643	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025
article 2331	0.00023	0.00023	0.00023	0.00023	0.00023	0.38557	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.17286	0.00023	0.00023	0.14704	0.00023	0.00023	0.00023	0.00023	0.00023	0.04377	0.00023	0.00023	0.00023	0.00023	0.00023	0.24373	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023
article 2332	0.00014	0.00014	0.00014	0.00014	0.12285	0.00014	0.00014	0.00014	0.00014	0.00014	0.17772	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014	0.00127	0.00014	0.00014	0.48864	0.00014	0.0457	0.00014	0.00014	0.00014	0.15988	0.00014	0.00014
article 2333	0.00015	0.04673	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.55503	0.00015	0.0793	0.00015	0.30332	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.01127	0.00015	0.00015	0.00015
article 2334	5e-05	5e-05	5e-05	5e-05	0.02951	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.16456	0.38968	5e-05	5e-05	5e-05	5e-05	0.28493	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.08908	0.03665	5e-05	5e-05	5e-05	5e-05	0.00409	5e-05	5e-05	5e-05
article 2335	0.01061	5e-05	0.04474	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.42534	0.00641	5e-05	5e-05	5e-05	0.02075	5e-05	5e-05	5e-05	5e-05	0.03402	5e-05	0.02159	5e-05	5e-05	5e-05	0.02895	5e-05	5e-05	0.02325	5e-05	5e-05	0.3832	5e-05	5e-05
article 2336	3e-05	3e-05	0.06139	3e-05	0.06816	3e-05	3e-05	0.02235	0.02785	3e-05	3e-05	3e-05	0.00282	0.00945	3e-05	0.01956	0.11708	0.08027	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	0.06749	3e-05	0.50427	3e-05	3e-05	0.01857	3e-05
article 2337	0.00032	0.00032	0.00032	0.00032	0.73381	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.25571	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032
article 2338	7e-05	0.0575	7e-05	0.48274	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	0.205	7e-05	7e-05	7e-05	7e-05	0.07807	7e-05	7e-05	0.02357	7e-05	0.04076	0.04669	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	7e-05	0.06385
article 2339	0.00015	0.00015	0.023	0.00015	0.00015	0.06678	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.01337	0.00015	0.00015	0.02395	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.06423	0.55624	0.00015	0.00015	0.2482	0.00015	0.00015	0.00015	0.00015	0.00015
article 2340	0.03221	0.41722	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.02906	0.00019	0.00019	0.45262	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.06329	0.00019	0.00019	0.00019	0.00019
article 2341	0.00021	0.00021	0.00021	0.00021	0.00021	0.08843	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.90474	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021
article 2342	0.40011	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.01721	5e-05	5e-05	5e-05	0.06679	5e-05	5e-05	5e-05	5e-05	5e-05	0.18808	0.07455	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	5e-05	0.25177	5e-05	5e-05
article 2343	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.60879	0.01701	4e-05	4e-05	4e-05	4e-05	4e-05	0.13989	0.00912	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.16374	4e-05	4e-05	4e-05	4e-05	4e-05	4e-05	0.06017	4e-05	4e-05
