CENTRE;HAUTS-BASSINS;SAHEL
;Kotoudeni;Petel Habé
;Lidara;Petel Karkallé
;Niale;Seno Tiondi
;Tin;Seytenga
;Diole;Sidibebe
;linguekoro;Soffokel
;Lougoua;Tandakoye
;Samogohiri;Tao
;Saraba;Yattakou
;tingindougou;Aladjou
;Todje;Arba-Débéré
;Banakoro;Arbinda
;Djigouan;Arra
;Fankara;Bamguel-baguel
;Karna;Belgou
;Kongolikoro;Belhouro
;Korkorla;Bossey
;N'dana;Boulikessi
;N'gana;Dalla
;Sana;Dampela
;Sikorla-Dierikandoug;Dandio
;Sokoro;Demtou
;Somorogouan;Djamkolga
;Soungalobougou;Djika
;sounkolo;Foubé
;Sourou;Gaïk-Goata
;Tenasso;Gaselnaye
;Zoumahiri;Gasseliki
;Nablodiassa;Gorel
;Bleni;Gorguel
;Din;Irakoulga
;Doh Diassa;Katté
;Fama;Kioké
;Fanfiela;Kougri-koulga
;Fignana;Kouilpagré
;Gondaga;Liki
;Lerasso;Lilgomdé
;N-gorlani;Madoudji
;Niamana;Niafo
;Senasso;Oualdéguédé
;Sindo;Ouilao
;Bassé;Oulf-Alpha
;Bekuy;Palal-sambo
;Lamba;Pelhouté
;Sara;Pem
;Bankoni;Peteldiré
;Béréba;Petelkotia
;Bihoun;Sanga
;Boho-Beraba;Sikiré
;Bokuy-Ouest;Sirgné
;Bomba;Werapoli
;Dabéré;Yalanga
;Dakoni;Baniel
;Dimikuy;Baraboulé
;Dorokuy;Dambougaré
;Doumien;Dankanao
;Douro;Dohouré
;Duo;Dotoka
;Duowakuy;Fili-fili
;Gnindekuy;Gadiouga
;Kassaho;Gasseltepaoua
;Keindeni;Hocoulourou
;Koura;Konga
;Lofikahoun;Lessam
;Lokoa;Mehena
;Maro;Oudouga
;Ouakuy;Ouindoupoli
;Ouani;Pahoundé
;Ouoro;Petalbaye
;Popioho;Petalkoulerou
;Tiawama;Pétégoli
;Tiombio;Petel
;Tioro;Soffi
;Yabé;Windeboki
;Bahoun;Belem- balou
;Bansié;Diguel
;Boni;Doundoubangou
;Dossi;Kenou
;Mambo;Kouyé
;Mamboué;Lassa
;Minou;Pelem-pelem
;Moukounien;Bani
;Saho;Banikani
;Yénou;Borguendé
;Banéré;Diagatao-Mossi
;Batiéné;Digatao-Rimaïbé
;Bonzan;Fétekoba
;Fing;Fétonada
;Fouzan;Ingani
;Kouloho;Kermagou
;Kovio;Koubel-Alpha
;Lobouga;Koumbataka
;Lollio;Mondé-sô
;Nahi;Pételtioudé
;Pana;Piladi
;Sambion;Sè
;Sanéba;Seno-bani
;Yéhoun;Silgueye
;Yerfing;Sô
;Boho-Kari;Som
;Bombi;Tondiata
;Bouahoun;Yaté
;Bouende;Nganoua
;Bouéré;Bélégagnagué
;Daboui;Bottogui
;Dankari;Diomsogui
;Dohoun;Kelbo
;Doufien;Korga
;Kari;Lahel
;Kiéré;Namsiguia
;Laho;Noralkingal
;Siéni;Pougouzaïbaogo
;Tiomboni;Tahidi
;Touaho;Arra-Fulbé
;Bonzan-pougouli;Djamo
;Dibien;Djayel
;Djindjerma;Gaskindé
;Fafo;Gomdé-Fulbé
;Gbatari;Gondé-Mossi
;Haba;Hamayala
;Indini;Hoka
;Kayao;Houkoulourou
;Koti;Kékelnoda
;Poa;Kékénéné
;Zangoni;Koutougou
;Bonsè;Souma
;Djui;Soum-Bellah
;Dougoumato I;Tongomayel-sirgné
;Dougoumato II;Tounté
;Gombélédougou;Bangharia
;Kongolékan;Bourou
;Koumbia;Damba
